"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Feb 03 00:38:17 UTC 2023","Fri Feb 03 00:38:17 UTC 2023","17","","Bulk delete reports","","Bulk delete reports","""before all"" hook for Bulk delete reports","""before all"" hook for Bulk delete reports",""
"broken","Fri Feb 03 00:39:05 UTC 2023","Fri Feb 03 00:39:05 UTC 2023","16","","Bulk User Creation ->","","Bulk User Creation ->","""before all"" hook for Bulk User Creation ->","""before all"" hook for Bulk User Creation ->",""
"broken","Fri Feb 03 00:38:53 UTC 2023","Fri Feb 03 00:38:53 UTC 2023","17","","MessageFormat","","MessageFormat","""before all"" hook for MessageFormat","""before all"" hook for MessageFormat",""
"broken","Fri Feb 03 00:38:06 UTC 2023","Fri Feb 03 00:38:06 UTC 2023","3","","Privacy policy: conflicts","","Privacy policy: conflicts","""before all"" hook for conflicts","""before all"" hook for conflicts",""
"broken","Fri Feb 03 00:39:03 UTC 2023","Fri Feb 03 00:39:03 UTC 2023","17","","User Test Cases ->","","User Test Cases ->","""before all"" hook for User Test Cases ->","""before all"" hook for User Test Cases ->",""
"broken","Fri Feb 03 00:36:25 UTC 2023","Fri Feb 03 00:36:25 UTC 2023","16","","Contact details page: Permissions to show reports and tasks","","Contact details page: Permissions to show reports and tasks","""before all"" hook for Permissions to show reports and tasks","""before all"" hook for Permissions to show reports and tasks",""
"broken","Fri Feb 03 00:39:07 UTC 2023","Fri Feb 03 00:39:07 UTC 2023","27","","Create user meta db : ","","Create user meta db : ","""before all"" hook for Create user meta db : ","""before all"" hook for Create user meta db : ",""
"broken","Fri Feb 03 00:36:44 UTC 2023","Fri Feb 03 00:36:44 UTC 2023","17","","Family form","","Family form","""before all"" hook for Family form","""before all"" hook for Family form",""
"broken","Fri Feb 03 00:36:20 UTC 2023","Fri Feb 03 00:36:20 UTC 2023","39","","Creating custom places","","Creating custom places","""before each"" hook for Creating custom places","""before each"" hook for Creating custom places",""
"broken","Fri Feb 03 00:38:06 UTC 2023","Fri Feb 03 00:38:06 UTC 2023","22","","Privacy policy: for an offline user","","Privacy policy: for an offline user","""after all"" hook for for an offline user","""after all"" hook for for an offline user",""
"broken","Fri Feb 03 00:38:43 UTC 2023","Fri Feb 03 00:38:43 UTC 2023","16","","Message tab breadcrumbs","","Message tab breadcrumbs","""before all"" hook for Message tab breadcrumbs","""before all"" hook for Message tab breadcrumbs",""
"broken","Fri Feb 03 00:38:29 UTC 2023","Fri Feb 03 00:38:29 UTC 2023","16","","Test Reports Search Functionality","","Test Reports Search Functionality","""before all"" hook for Test Reports Search Functionality","""before all"" hook for Test Reports Search Functionality",""
"broken","Fri Feb 03 00:37:30 UTC 2023","Fri Feb 03 00:37:30 UTC 2023","23","","Submit an undo death report","","Submit an undo death report","""before all"" hook for Submit an undo death report","""before all"" hook for Submit an undo death report",""
"broken","Fri Feb 03 00:37:01 UTC 2023","Fri Feb 03 00:37:01 UTC 2023","17","","Pregnancy danger sign follow-up form","","Pregnancy danger sign follow-up form","""before all"" hook for Pregnancy danger sign follow-up form","""before all"" hook for Pregnancy danger sign follow-up form",""
"broken","Fri Feb 03 00:36:47 UTC 2023","Fri Feb 03 00:36:47 UTC 2023","17","","Submit a death report","","Submit a death report","""before all"" hook for Submit a death report","""before all"" hook for Submit a death report",""
"broken","Fri Feb 03 00:38:06 UTC 2023","Fri Feb 03 00:38:06 UTC 2023","774","","Privacy policy: for an online user","","Privacy policy: for an online user","""before all"" hook for for an online user","""before all"" hook for for an online user",""
"broken","Fri Feb 03 00:38:38 UTC 2023","Fri Feb 03 00:38:38 UTC 2023","17","","sms-gateway api","","sms-gateway api","""before all"" hook for sms-gateway api","""before all"" hook for sms-gateway api",""
"broken","Fri Feb 03 00:38:55 UTC 2023","Fri Feb 03 00:38:58 UTC 2023","2937","","Bikram Sambat date display","","Bikram Sambat date display","""before all"" hook for Bikram Sambat date display","""before all"" hook for Bikram Sambat date display",""
"broken","Fri Feb 03 00:36:49 UTC 2023","Fri Feb 03 00:36:50 UTC 2023","552","","Edit report with attachmnet","","Edit report with attachmnet","""before all"" hook for Edit report with attachmnet","""before all"" hook for Edit report with attachmnet",""
"broken","Fri Feb 03 00:38:12 UTC 2023","Fri Feb 03 00:38:12 UTC 2023","95","","manifest.json","","manifest.json","works with custom branding doc","works with custom branding doc",""
"broken","Fri Feb 03 00:37:17 UTC 2023","Fri Feb 03 00:37:18 UTC 2023","18","","Countdown timer widget","","Countdown timer widget","""before all"" hook for Countdown timer widget","""before all"" hook for Countdown timer widget",""
"broken","Fri Feb 03 00:38:24 UTC 2023","Fri Feb 03 00:38:24 UTC 2023","25","","Export Reports","","Export Reports","""before each"" hook for Export Reports","""before each"" hook for Export Reports",""
"broken","Fri Feb 03 00:39:00 UTC 2023","Fri Feb 03 00:39:00 UTC 2023","18","","Adding new language","","Adding new language","""before all"" hook for Adding new language","""before all"" hook for Adding new language",""
"broken","Fri Feb 03 00:38:22 UTC 2023","Fri Feb 03 00:38:22 UTC 2023","16","","Delete Reports","","Delete Reports","""before each"" hook for Delete Reports","""before each"" hook for Delete Reports",""
"broken","Fri Feb 03 00:37:35 UTC 2023","Fri Feb 03 00:37:36 UTC 2023","16","","should renew token","","should renew token","""before each"" hook for should renew token","""before each"" hook for should renew token",""
"broken","Fri Feb 03 00:38:15 UTC 2023","Fri Feb 03 00:38:15 UTC 2023","16","","Reports tab breadcrumbs","","Reports tab breadcrumbs","""before all"" hook for Reports tab breadcrumbs","""before all"" hook for Reports tab breadcrumbs",""
"broken","Fri Feb 03 00:37:03 UTC 2023","Fri Feb 03 00:37:10 UTC 2023","6518","","Pregnancy Visit","","Pregnancy Visit","""before all"" hook for Pregnancy Visit","""before all"" hook for Pregnancy Visit",""
"broken","Fri Feb 03 00:37:25 UTC 2023","Fri Feb 03 00:37:25 UTC 2023","16","","Submit Photo Upload form","","Submit Photo Upload form","""before all"" hook for Submit Photo Upload form","""before all"" hook for Submit Photo Upload form",""
"broken","Fri Feb 03 00:37:58 UTC 2023","Fri Feb 03 00:37:58 UTC 2023","15","","Hamburger Menu tests","","Hamburger Menu tests","""before all"" hook for Hamburger Menu tests","""before all"" hook for Hamburger Menu tests",""
"broken","Fri Feb 03 00:38:31 UTC 2023","Fri Feb 03 00:38:31 UTC 2023","17","","Reports Sidebar Filter","","Reports Sidebar Filter","""before each"" hook for Reports Sidebar Filter","""before each"" hook for Reports Sidebar Filter",""
"broken","Fri Feb 03 00:36:52 UTC 2023","Fri Feb 03 00:36:59 UTC 2023","6513","","Contact Delivery Form","","Contact Delivery Form","""before all"" hook for Contact Delivery Form","""before all"" hook for Contact Delivery Form",""
"broken","Fri Feb 03 00:36:35 UTC 2023","Fri Feb 03 00:36:35 UTC 2023","16","","Create new lineage structure","","Create new lineage structure","""before all"" hook for Create new lineage structure","""before all"" hook for Create new lineage structure",""
"broken","Fri Feb 03 00:36:42 UTC 2023","Fri Feb 03 00:36:42 UTC 2023","17","","db-sync","","db-sync","""before all"" hook for db-sync","""before all"" hook for db-sync",""
"broken","Fri Feb 03 00:38:36 UTC 2023","Fri Feb 03 00:38:36 UTC 2023","18","","Export Messages","","Export Messages","""before each"" hook for Export Messages","""before each"" hook for Export Messages",""
"broken","Fri Feb 03 00:38:48 UTC 2023","Fri Feb 03 00:38:48 UTC 2023","16","","Tasks tab breadcrumbs","","Tasks tab breadcrumbs","""before all"" hook for Tasks tab breadcrumbs","""before all"" hook for Tasks tab breadcrumbs",""
"broken","Fri Feb 03 00:36:30 UTC 2023","Fri Feb 03 00:36:30 UTC 2023","17","","Export Contacts","","Export Contacts","""before each"" hook for Export Contacts","""before each"" hook for Export Contacts",""
"broken","Fri Feb 03 00:36:23 UTC 2023","Fri Feb 03 00:36:23 UTC 2023","16","","Add new district tests : ","","Add new district tests : ","""before all"" hook for Add new district tests : ","""before all"" hook for Add new district tests : ",""
"broken","Fri Feb 03 00:39:00 UTC 2023","Fri Feb 03 00:39:00 UTC 2023","13","","Adding new language","","Adding new language","""after all"" hook for Adding new language","""after all"" hook for Adding new language",""
"broken","Fri Feb 03 00:36:02 UTC 2023","Fri Feb 03 00:36:02 UTC 2023","17","","About page","","About page","""before each"" hook for About page","""before each"" hook for About page",""
"broken","Fri Feb 03 00:37:55 UTC 2023","Fri Feb 03 00:37:55 UTC 2023","23","","bfcache: login page","","bfcache: login page","""after each"" hook for bfcache","""after each"" hook for bfcache",""
"broken","Fri Feb 03 00:36:11 UTC 2023","Fri Feb 03 00:36:18 UTC 2023","7257","","Create user for contacts","","Create user for contacts","""before all"" hook for Create user for contacts","""before all"" hook for Create user for contacts",""
"broken","Fri Feb 03 00:38:20 UTC 2023","Fri Feb 03 00:38:20 UTC 2023","16","","Report Filter","","Report Filter","""before each"" hook for Report Filter","""before each"" hook for Report Filter",""
"broken","Fri Feb 03 00:37:38 UTC 2023","Fri Feb 03 00:37:38 UTC 2023","112","","Token login","","Token login","""after each"" hook for Token login","""after each"" hook for Token login",""
"broken","Fri Feb 03 00:36:37 UTC 2023","Fri Feb 03 00:36:37 UTC 2023","16","","Create Person Under Area","","Create Person Under Area","""before each"" hook for Create Person Under Area","""before each"" hook for Create Person Under Area",""
"broken","Fri Feb 03 00:38:27 UTC 2023","Fri Feb 03 00:38:27 UTC 2023","16","","generating short codes","","generating short codes","""before all"" hook for generating short codes","""before all"" hook for generating short codes",""
"broken","Fri Feb 03 00:36:40 UTC 2023","Fri Feb 03 00:36:40 UTC 2023","17","","Test Contact Search Functionality","","Test Contact Search Functionality","""before all"" hook for Test Contact Search Functionality","""before all"" hook for Test Contact Search Functionality",""
"broken","Fri Feb 03 00:36:04 UTC 2023","Fri Feb 03 00:36:06 UTC 2023","1290","","Acessing the admin app","","Acessing the admin app","""after each"" hook for Acessing the admin app","""after each"" hook for Acessing the admin app",""
"broken","Fri Feb 03 00:37:12 UTC 2023","Fri Feb 03 00:37:12 UTC 2023","16","","Pregnancy registration","","Pregnancy registration","""before all"" hook for Pregnancy registration","""before all"" hook for Pregnancy registration",""
"broken","Fri Feb 03 00:38:46 UTC 2023","Fri Feb 03 00:38:46 UTC 2023","28","","Task list due dates","","Task list due dates","""before all"" hook for Task list due dates","""before all"" hook for Task list due dates",""
"broken","Fri Feb 03 00:37:27 UTC 2023","Fri Feb 03 00:37:27 UTC 2023","541","","Submit Z-Score form","","Submit Z-Score form","""before all"" hook for Submit Z-Score form","""before all"" hook for Submit Z-Score form",""
"broken","Fri Feb 03 00:36:32 UTC 2023","Fri Feb 03 00:36:32 UTC 2023","18","","Mute/Unmute contacts using a specific form.","","Mute/Unmute contacts using a specific form.","""before all"" hook for Mute/Unmute contacts using a specific form.","""before all"" hook for Mute/Unmute contacts using a specific form.",""
"broken","Fri Feb 03 00:36:20 UTC 2023","Fri Feb 03 00:36:20 UTC 2023","7","","Creating custom places","","Creating custom places","""after each"" hook for Creating custom places","""after each"" hook for Creating custom places",""
"broken","Fri Feb 03 00:36:27 UTC 2023","Fri Feb 03 00:36:27 UTC 2023","17","","Edit contacts with the default config. ","","Edit contacts with the default config. ","""before all"" hook for Edit contacts with the default config. ","""before all"" hook for Edit contacts with the default config. ",""
"broken","Fri Feb 03 00:38:00 UTC 2023","Fri Feb 03 00:38:00 UTC 2023","16","","Navigation tests","","Navigation tests","""before each"" hook for Navigation tests","""before each"" hook for Navigation tests",""
"broken","Fri Feb 03 00:36:08 UTC 2023","Fri Feb 03 00:36:08 UTC 2023","18","","Targets","","Targets","""before all"" hook for Targets","""before all"" hook for Targets",""
"broken","Fri Feb 03 00:38:50 UTC 2023","Fri Feb 03 00:38:50 UTC 2023","17","","Tasks group landing page","","Tasks group landing page","""before all"" hook for Tasks group landing page","""before all"" hook for Tasks group landing page",""
"broken","Fri Feb 03 00:38:02 UTC 2023","Fri Feb 03 00:38:02 UTC 2023","16","","Guided tour","","Guided tour","""before each"" hook for Guided tour","""before each"" hook for Guided tour",""
"broken","Fri Feb 03 00:38:41 UTC 2023","Fri Feb 03 00:38:41 UTC 2023","15","","Link SMS to patient without passing id","","Link SMS to patient without passing id","""before all"" hook for Link SMS to patient without passing id","""before all"" hook for Link SMS to patient without passing id",""
"broken","Fri Feb 03 00:38:58 UTC 2023","Fri Feb 03 00:38:58 UTC 2023","26","","Bikram Sambat date display","","Bikram Sambat date display","""after all"" hook for Bikram Sambat date display","""after all"" hook for Bikram Sambat date display",""
